"youtuber","category","country","category_top","country (1)","continent","subscribers","video_views","max_monthly_earnings","score","year"
"Topper Guild","Comedy","United States","Comedy","United States","North America","21900000","15552070846","2700000.00","6228208338",2014
"VanossGaming","Gaming","Canada","Gaming","Canada","North America","25800000","15541421838","219800.00","6224374675",2011
"Mister Max","People & Blogs","United Kingdom","People & Blogs","United Kingdom","Europe","23700000","15510153803","131300.00","6211210911",2014
"VEGETTA777","Gaming","Spain","Gaming","Spain","Europe","33800000","15432929204","156400.00","6183358602",2008
"EnriqueIglesiasVEVO","Music","United States","Music","United States","North America","12900000","15446707595","303100.00","6182643968",2009
"And TV","Entertainment","United States","Entertainment","United States","North America","18000000","15412333005","0.02","6170333202",2006
"Drake","Music","Nothing","Music","Nothing","Other","28100000","15318895118","0.12","6135988047",2005
"Younes Zarou","Entertainment","Germany","Entertainment","Germany","Europe","16600000","15278668857","2500000.00","6117197543",2021
"Talking Tom","Comedy","United States","Comedy","United States","North America","30200000","15199330166","0.00","6088792066",2008
"Luis Fonsi","Entertainment","Nothing","Entertainment","Nothing","Other","31400000","15176762479","0.00","6080124992",2006
"KBS WORLD TV","Entertainment","South Korea","Entertainment","South Korea","Asia","19000000","15126092508","432000.00","6056266603",2007
"Raffy Tulfo in Action","News & Politics","Philippines","Other","Philippines","Asia","26500000","15065753455","652500.00","6034447132",2016
"Mnet K-POP","Entertainment","South Korea","Entertainment","South Korea","Asia","20500000","15038593883","634200.00","6021777813",2006
"Tlnovelas","News & Politics","Mexico","Other","Mexico","North America","21500000","15013096899","62.00","6011688778",2014
"Rajshri","Music","India","Music","India","Asia","33500000","14864294792","1100000.00","5956097917",2006
"Blippi - Educational Videos for Kids","Education","United States","Education","United States","North America","18100000","14857290259","721600.00","5948562584",2014
"Anuel AA","Music","Colombia","Music","Colombia","South America","25000000","14827085149","1100000.00","5938664060",2016
"infobells - Telugu","Education","India","Education","India","Asia","28300000","14814192034","1200000.00","5934526814",2014
"7clouds","Music","United States","Music","United States","North America","20100000","14816075927","1100000.00","5932790371",2013
"XO TEAM","People & Blogs","United States","People & Blogs","United States","North America","16200000","14784781923","152.00","5918772815",2020
"Jelly","Gaming","United Kingdom","Gaming","United Kingdom","Europe","23500000","14777034543","166700.00","5917913827",2014
"Zhong","Entertainment","United States","Entertainment","United States","North America","29200000","14727238483","0.00","5899655393",2015
"Marshmello","Entertainment","United States","Entertainment","United States","North America","56400000","14696003229","448400.00","5895455812",2015
"Saturday Night Live","Entertainment","United States","Entertainment","United States","North America","13600000","14717282742","226500.00","5891061047",2013
"Miss Katy","People & Blogs","United Kingdom","People & Blogs","United Kingdom","Europe","23500000","14696994366","238500.00","5885919296",2014
"mujjuu___14","People & Blogs","Nothing","People & Blogs","Nothing","Other","24800000","14655527943","1600000.00","5870131177",2020
"JuegaGerman","Gaming","Chile","Gaming","Chile","South America","48100000","14631710289","265600.00","5867193796",2013
"Henrique e Juliano","Music","Brazil","Music","Brazil","South America","15500000","14619523361","654700.00","5852655754",2009
"PopularMMOs","Gaming","Nothing","Gaming","Nothing","Other","17200000","14573155899","61200.00","5834440720",2012
"Thairath Online","News & Politics","Thailand","Other","Thailand","Asia","16200000","14563841315","899000.00","5830666226",2010
"Genierock","Music","Thailand","Music","Thailand","Asia","15400000","14564170905","331200.00","5830387722",2008
"LuisFonsiVEVO","Music","United States","Music","United States","North America","17000000","14543594822","199300.00","5822597719",2009
"Alfredo Larin","Entertainment","Nothing","Entertainment","Nothing","Other","16400000","14431830557","0.00","5777652223",2015
